Date,Competition,Home Team,Away Team,Home Goals,Away Goals,Possession % (Home),Possession % (Away),Shots (Home),Shots (Away),Corners (Home),Corners (Away),Fouls (Home),Fouls (Away),Winner,Year
2025-01-09,Bundesliga,Bayern Munich,Arsenal,3,4,59,45,20,19,6,8,9,7,Home Team,2018
2015-04-04,La Liga,Barcelona,Juventus,5,2,54,37,16,20,7,6,11,8,Draw,2025
2018-05-16,Serie A,Bayern Munich,Paris Saint-Germain,4,3,52,30,6,13,6,3,13,10,Draw,2025
2021-11-16,Serie A,Bayern Munich,Paris Saint-Germain,3,3,55,54,9,18,7,7,10,15,Away Team,2025
2020-10-05,UEFA Champions League,Chelsea,Liverpool,5,3,42,47,18,7,5,3,8,5,Home Team,2015
2017-06-24,Serie A,Chelsea,Liverpool,1,5,51,58,5,9,2,7,8,8,Draw,2019
2024-12-13,Bundesliga,Arsenal,Borussia Dortmund,4,0,61,32,23,15,7,6,6,6,Draw,2021
2021-12-22,Bundesliga,Juventus,Bayern Munich,4,3,68,55,17,8,4,4,13,8,Away Team,2025
2023-03-01,UEFA Champions League,Barcelona,Bayern Munich,0,3,49,49,18,22,9,2,7,5,Away Team,2016
2021-04-16,Serie A,Chelsea,Liverpool,3,4,55,32,23,7,10,8,13,5,Away Team,2018
2016-04-30,Bundesliga,Barcelona,Paris Saint-Germain,2,1,55,47,22,16,10,7,7,14,Home Team,2024
2017-08-20,Serie A,Manchester City,Borussia Dortmund,3,3,70,30,24,15,9,2,6,14,Away Team,2025
2025-07-31,Premier League,Juventus,Juventus,2,2,54,60,21,7,6,3,13,10,Away Team,2016
2015-02-07,La Liga,Liverpool,Arsenal,3,1,57,45,23,17,9,5,6,14,Away Team,2016
2020-06-08,Premier League,Bayern Munich,Borussia Dortmund,5,1,53,37,13,17,4,2,9,12,Draw,2023
2025-03-16,Premier League,Real Madrid,Man City,4,1,44,35,19,20,6,2,6,6,Away Team,2018
2019-09-25,La Liga,Liverpool,Arsenal,0,1,51,37,9,18,6,9,11,13,Away Team,2019
2025-07-16,Bundesliga,Juventus,Arsenal,3,1,70,37,21,8,7,9,14,12,Away Team,2023
2023-01-18,Premier League,Chelsea,Barcelona,5,3,62,57,25,9,3,7,9,13,Home Team,2025
2022-11-02,Serie A,AC Milan,Liverpool,3,0,51,34,16,7,4,5,11,9,Draw,2023
2015-12-25,La Liga,Barcelona,Arsenal,0,5,59,41,12,14,3,3,13,15,Home Team,2023
2021-07-30,Bundesliga,Juventus,Barcelona,5,4,43,59,15,10,5,2,8,12,Home Team,2022
2018-08-23,Serie A,Manchester City,Man City,4,3,59,49,10,20,9,8,7,11,Away Team,2020
2018-10-21,UEFA Champions League,Arsenal,AC Milan,0,3,65,34,12,8,3,6,15,10,Away Team,2021
2018-02-23,Serie A,Real Madrid,Barcelona,4,4,61,49,20,8,3,2,11,7,Away Team,2022
2025-11-18,Premier League,Manchester City,Chelsea,5,2,45,55,14,15,7,6,15,13,Home Team,2015
2022-04-16,Bundesliga,Bayern Munich,Borussia Dortmund,3,4,55,31,6,18,2,5,10,11,Away Team,2015
2023-10-08,UEFA Champions League,Barcelona,Bayern Munich,0,1,55,51,22,12,2,7,7,13,Home Team,2020
2015-12-06,UEFA Champions League,AC Milan,Borussia Dortmund,1,1,44,36,15,19,7,10,10,8,Home Team,2018
2018-03-13,Bundesliga,Liverpool,Man City,2,0,41,30,24,17,2,5,15,13,Draw,2015
2018-06-30,La Liga,Arsenal,Man City,0,5,62,59,14,7,3,3,13,8,Away Team,2022
2024-01-30,Premier League,Juventus,Man City,3,4,53,50,20,20,5,10,7,11,Home Team,2025
2021-04-13,Serie A,Liverpool,Paris Saint-Germain,3,5,40,53,15,16,6,9,8,14,Away Team,2016
2025-08-28,Serie A,Chelsea,Borussia Dortmund,3,4,45,51,5,19,2,10,15,11,Home Team,2018
2019-09-06,UEFA Champions League,Juventus,Man City,3,0,45,54,15,9,2,8,11,6,Draw,2021
2019-06-28,Premier League,Barcelona,Borussia Dortmund,3,3,65,52,20,12,5,10,11,10,Away Team,2022
2020-04-28,UEFA Champions League,PSG,Liverpool,4,4,51,37,16,23,8,3,6,15,Draw,2018
2019-01-25,Bundesliga,Juventus,Barcelona,3,2,53,40,24,14,10,9,9,12,Home Team,2024
2016-03-18,Premier League,AC Milan,Liverpool,3,4,59,41,8,6,3,7,7,15,Away Team,2023
2020-06-21,UEFA Champions League,Manchester City,Barcelona,5,3,44,46,23,22,3,7,13,14,Away Team,2020
2020-06-13,Serie A,PSG,Bayern Munich,0,5,49,56,7,19,2,10,13,8,Home Team,2021
2018-12-14,UEFA Champions League,Manchester City,Arsenal,3,0,45,33,7,14,7,8,5,10,Draw,2021
2023-05-23,Bundesliga,Liverpool,Arsenal,4,1,52,42,14,10,7,3,9,15,Away Team,2025
2023-01-18,UEFA Champions League,Manchester City,Paris Saint-Germain,0,0,53,32,8,22,3,7,14,8,Home Team,2024
2016-06-27,Bundesliga,PSG,Barcelona,2,5,62,37,25,11,9,7,8,11,Home Team,2022
2015-07-14,La Liga,Manchester City,Bayern Munich,1,0,42,40,10,16,7,7,13,13,Home Team,2021
2019-12-02,Bundesliga,Arsenal,Man City,0,5,46,47,23,15,10,7,14,11,Draw,2020
2021-06-30,La Liga,Chelsea,Arsenal,2,4,69,60,22,20,8,6,5,12,Draw,2020
2020-11-21,Serie A,Arsenal,Bayern Munich,2,0,63,37,17,14,4,7,11,8,Draw,2021
2019-04-09,Premier League,Arsenal,Bayern Munich,0,4,67,52,6,17,4,7,8,10,Away Team,2021
2024-01-15,Premier League,AC Milan,Liverpool,2,5,70,45,20,22,4,2,7,9,Home Team,2019
2024-05-22,Serie A,PSG,Barcelona,1,4,65,57,20,12,8,7,7,7,Away Team,2022
2017-10-28,Serie A,Arsenal,Chelsea,2,4,63,43,14,6,7,6,6,8,Away Team,2017
2021-07-01,La Liga,PSG,Juventus,4,2,50,55,24,8,10,5,6,14,Draw,2025
2019-04-07,La Liga,Arsenal,Chelsea,4,5,56,49,7,5,6,2,11,15,Draw,2016
2021-02-08,Serie A,AC Milan,Juventus,1,2,69,53,7,9,7,2,7,12,Draw,2023
2022-01-23,La Liga,Manchester City,Paris Saint-Germain,3,5,46,43,14,14,4,7,5,5,Draw,2021
2021-12-13,Bundesliga,AC Milan,Juventus,5,0,42,52,6,8,9,7,6,7,Draw,2023
2022-04-23,Premier League,Manchester City,Liverpool,5,4,52,48,12,7,9,8,10,13,Away Team,2019
2025-04-11,La Liga,Manchester City,Barcelona,0,2,58,59,12,24,4,2,9,9,Draw,2023
2018-01-11,Premier League,PSG,Liverpool,2,4,42,57,15,9,2,2,9,7,Draw,2017
2020-05-24,Premier League,Real Madrid,Bayern Munich,5,1,62,57,8,12,9,3,5,10,Draw,2023
2023-11-03,Serie A,Chelsea,Paris Saint-Germain,0,2,50,42,18,15,10,2,10,12,Draw,2019
2017-04-02,Bundesliga,Manchester City,Liverpool,5,0,61,49,21,9,8,4,11,7,Home Team,2023
2022-03-14,UEFA Champions League,Barcelona,Borussia Dortmund,3,1,49,40,7,24,6,9,6,11,Home Team,2022
2019-03-13,Premier League,Chelsea,Bayern Munich,0,0,69,32,24,13,3,8,7,15,Home Team,2024
2019-11-04,Premier League,Liverpool,Chelsea,5,1,70,55,7,22,2,2,12,8,Draw,2023
2017-12-12,Bundesliga,Juventus,Borussia Dortmund,3,5,68,51,15,7,10,5,10,15,Home Team,2023
2021-10-06,Bundesliga,Juventus,Man City,3,2,58,32,9,23,8,5,6,14,Home Team,2016
2017-01-20,Bundesliga,Liverpool,Paris Saint-Germain,2,3,60,53,5,15,9,6,15,5,Away Team,2017
2020-12-20,Premier League,Juventus,Man City,1,4,59,41,16,21,3,4,10,7,Home Team,2016
2025-09-03,Serie A,PSG,Barcelona,4,1,43,49,8,19,4,6,10,6,Away Team,2021
2018-10-02,La Liga,Chelsea,Man City,5,0,62,35,17,25,6,5,13,13,Draw,2020
2017-07-01,Bundesliga,Juventus,Liverpool,5,2,44,34,12,15,9,7,9,15,Draw,2017
2021-08-28,La Liga,Manchester City,Borussia Dortmund,2,0,70,36,12,8,10,4,15,5,Draw,2019
2021-01-02,UEFA Champions League,Liverpool,Paris Saint-Germain,1,5,68,49,12,9,6,4,13,7,Away Team,2018
2017-06-30,Bundesliga,Liverpool,Juventus,1,5,64,35,22,14,9,2,13,15,Draw,2024
2019-10-31,Premier League,Juventus,Man City,0,2,62,48,17,16,9,4,10,9,Draw,2024
2016-03-09,Bundesliga,PSG,Barcelona,5,3,62,37,6,17,3,10,11,7,Draw,2016
2020-11-21,Bundesliga,Real Madrid,AC Milan,2,2,56,39,21,24,2,6,9,10,Away Team,2025
2021-05-15,La Liga,Bayern Munich,Bayern Munich,0,1,57,35,9,20,6,4,10,14,Away Team,2019
2015-01-06,Serie A,Juventus,Borussia Dortmund,5,2,70,50,7,15,10,5,14,7,Home Team,2017
2017-10-11,Serie A,AC Milan,Man City,2,0,40,37,10,18,3,10,13,15,Away Team,2022
2020-10-25,UEFA Champions League,Juventus,Barcelona,1,4,70,49,6,5,4,3,13,13,Draw,2021
2020-11-21,UEFA Champions League,AC Milan,Juventus,2,5,63,34,18,5,8,2,5,10,Home Team,2021
2017-03-17,La Liga,Manchester City,Chelsea,2,2,50,60,9,11,6,9,12,12,Draw,2018
2022-12-04,UEFA Champions League,Barcelona,Arsenal,5,1,52,38,9,8,2,8,5,15,Home Team,2025
2019-01-31,UEFA Champions League,Bayern Munich,Paris Saint-Germain,0,4,68,49,9,7,7,8,11,13,Away Team,2024
2025-10-10,La Liga,Barcelona,Arsenal,4,1,57,49,7,12,9,2,14,11,Away Team,2020
2015-04-06,Bundesliga,Manchester City,Paris Saint-Germain,0,0,67,50,11,20,4,2,12,13,Away Team,2018
2016-02-01,La Liga,Liverpool,Barcelona,4,5,46,38,16,16,2,5,7,15,Home Team,2015
2025-03-05,Premier League,Bayern Munich,Paris Saint-Germain,0,2,67,41,17,11,6,7,8,5,Home Team,2021
2015-07-18,Serie A,AC Milan,Borussia Dortmund,5,2,66,54,16,8,8,3,6,15,Home Team,2021
2015-01-25,La Liga,Manchester City,Paris Saint-Germain,2,0,67,52,19,12,2,3,7,10,Home Team,2016
2017-04-03,Serie A,PSG,Bayern Munich,5,2,58,38,7,6,8,3,14,12,Away Team,2025
2018-08-24,Bundesliga,PSG,AC Milan,4,2,61,39,19,5,2,6,9,9,Home Team,2021
2019-01-05,La Liga,Barcelona,Paris Saint-Germain,5,5,70,60,21,24,9,9,9,10,Draw,2021
2021-03-15,UEFA Champions League,AC Milan,Barcelona,1,2,64,38,25,5,2,10,15,9,Draw,2023
2025-04-29,Premier League,Liverpool,Paris Saint-Germain,1,3,42,50,8,20,9,5,10,10,Draw,2020
2017-04-21,UEFA Champions League,Juventus,Bayern Munich,1,4,44,40,21,21,5,8,15,13,Away Team,2024
2018-02-14,Premier League,Chelsea,Paris Saint-Germain,1,1,65,35,7,8,3,5,5,11,Away Team,2021
2020-07-31,La Liga,PSG,Man City,2,2,68,60,14,12,5,10,12,5,Home Team,2025
2016-03-24,Serie A,Juventus,AC Milan,0,4,62,55,23,9,9,6,7,12,Home Team,2024
2024-09-21,Premier League,AC Milan,AC Milan,2,4,63,43,23,16,7,4,9,13,Draw,2024
2023-10-13,La Liga,Real Madrid,Paris Saint-Germain,1,3,55,47,17,16,4,9,10,10,Away Team,2025
2018-06-23,Bundesliga,Barcelona,Man City,4,1,41,36,24,12,3,8,15,7,Draw,2025
2017-03-03,Premier League,Manchester City,AC Milan,3,0,59,51,18,5,6,9,6,14,Away Team,2021
2018-07-25,La Liga,Bayern Munich,Bayern Munich,3,0,48,49,22,13,3,7,7,13,Away Team,2015
2020-08-07,UEFA Champions League,PSG,AC Milan,0,5,47,32,15,25,6,8,5,6,Away Team,2022
2023-06-30,Premier League,Arsenal,Borussia Dortmund,3,2,47,31,18,18,10,2,15,6,Home Team,2016
2023-01-13,La Liga,Chelsea,Liverpool,4,0,62,45,23,6,7,6,15,8,Away Team,2015
2024-12-24,UEFA Champions League,AC Milan,Arsenal,3,4,42,55,25,22,9,10,11,7,Home Team,2019
2022-02-11,La Liga,Chelsea,Man City,4,1,58,40,20,14,7,2,8,14,Home Team,2018
2021-02-05,Serie A,Chelsea,Chelsea,1,4,52,43,11,6,2,9,14,10,Home Team,2022
2025-06-24,Premier League,PSG,AC Milan,4,5,51,45,25,23,5,3,15,6,Draw,2022
2017-10-16,La Liga,AC Milan,Borussia Dortmund,1,4,57,50,15,20,5,6,12,10,Home Team,2021
2019-11-29,UEFA Champions League,Real Madrid,Paris Saint-Germain,0,0,46,30,9,6,2,4,14,6,Home Team,2018
2020-07-22,UEFA Champions League,Juventus,Borussia Dortmund,5,2,63,32,25,10,8,2,6,8,Home Team,2017
2018-12-31,Premier League,Arsenal,AC Milan,0,2,47,39,8,12,7,8,15,14,Home Team,2020
2019-09-11,La Liga,Barcelona,Arsenal,0,0,49,40,6,12,2,9,12,14,Draw,2015
2022-06-09,UEFA Champions League,Bayern Munich,Liverpool,3,0,45,57,6,23,2,6,6,10,Away Team,2015
2015-06-16,UEFA Champions League,Liverpool,Arsenal,3,4,70,43,9,12,4,9,14,8,Draw,2017
2017-05-10,Bundesliga,Juventus,Chelsea,1,0,49,49,22,19,2,10,7,12,Draw,2024
2023-07-17,UEFA Champions League,Barcelona,Juventus,4,5,50,37,19,10,2,10,11,8,Draw,2015
2015-01-13,La Liga,Chelsea,Liverpool,4,0,58,30,11,11,2,8,8,10,Draw,2015
2018-05-07,La Liga,PSG,Barcelona,4,2,67,56,8,5,10,4,10,15,Home Team,2015
2017-11-28,UEFA Champions League,Real Madrid,Arsenal,3,2,69,56,17,15,9,2,11,14,Away Team,2020
2021-11-09,Serie A,Manchester City,Man City,1,1,52,47,10,12,7,5,5,14,Draw,2017
2025-12-23,Serie A,Liverpool,Juventus,5,3,69,32,23,5,9,4,6,15,Home Team,2019
2018-06-18,Bundesliga,PSG,Chelsea,3,1,49,43,5,5,2,5,11,10,Home Team,2016
2022-11-08,Bundesliga,Bayern Munich,Bayern Munich,2,4,66,45,15,24,5,6,14,15,Away Team,2025
2020-02-04,Serie A,Manchester City,AC Milan,2,0,64,53,8,9,3,8,9,12,Away Team,2023
2023-02-25,Premier League,Barcelona,Man City,0,1,48,52,8,21,10,7,13,10,Away Team,2015
2017-11-16,UEFA Champions League,Liverpool,Chelsea,5,5,45,35,19,15,2,2,11,6,Home Team,2020
2024-08-06,La Liga,Real Madrid,Borussia Dortmund,0,0,60,31,20,24,9,2,5,11,Draw,2015
2022-03-19,Bundesliga,Juventus,Man City,0,1,49,48,11,9,5,8,6,5,Home Team,2024
2021-11-10,Premier League,Arsenal,Bayern Munich,3,5,41,30,14,10,8,2,6,10,Draw,2022
2022-03-15,Premier League,Bayern Munich,Juventus,4,3,61,30,22,7,9,7,15,9,Draw,2025
2016-10-15,UEFA Champions League,AC Milan,Arsenal,0,2,70,51,12,11,9,8,15,5,Draw,2019
2023-11-25,Bundesliga,Manchester City,Borussia Dortmund,1,5,52,54,6,12,4,4,12,8,Home Team,2023
2023-11-04,Serie A,Juventus,Arsenal,1,3,65,31,18,6,6,2,13,14,Away Team,2017
2019-01-20,Premier League,Arsenal,Chelsea,4,0,53,36,15,8,6,2,8,11,Draw,2016
2024-06-02,Premier League,PSG,Man City,1,1,68,44,17,8,6,2,9,13,Away Team,2021
2015-06-05,UEFA Champions League,Manchester City,Paris Saint-Germain,5,3,70,37,24,16,6,5,6,7,Home Team,2018
2025-06-23,UEFA Champions League,Real Madrid,Paris Saint-Germain,2,1,44,45,13,19,3,8,8,12,Home Team,2025
2016-03-01,Bundesliga,Chelsea,AC Milan,3,1,41,57,16,19,3,9,9,9,Draw,2017
2025-04-25,Serie A,Arsenal,Bayern Munich,1,3,49,35,11,25,4,9,10,10,Away Team,2015
2019-06-07,UEFA Champions League,Real Madrid,Juventus,0,4,59,60,23,16,6,4,9,7,Draw,2020
2016-11-29,Serie A,Liverpool,Man City,4,1,58,37,22,17,5,5,7,8,Home Team,2023
2024-02-18,Serie A,Real Madrid,Borussia Dortmund,3,0,41,35,22,6,9,5,10,5,Away Team,2021
2019-11-04,Serie A,Barcelona,AC Milan,1,0,47,33,16,19,7,3,14,7,Away Team,2025
2021-06-29,Bundesliga,Barcelona,Paris Saint-Germain,1,1,64,54,15,9,5,5,15,8,Home Team,2025
2018-10-27,Premier League,Arsenal,Chelsea,1,4,50,59,8,21,6,9,5,6,Draw,2017
2025-05-29,La Liga,Real Madrid,Man City,3,0,66,34,20,9,4,8,15,7,Away Team,2023
2024-04-02,La Liga,Juventus,Liverpool,2,0,67,49,21,25,10,4,9,12,Away Team,2016
2021-04-21,Serie A,Bayern Munich,Man City,3,2,69,33,15,20,7,5,14,14,Draw,2024
2020-08-01,UEFA Champions League,Chelsea,Borussia Dortmund,4,4,49,47,19,8,9,3,11,10,Away Team,2016
2024-07-18,Serie A,AC Milan,Borussia Dortmund,1,1,65,44,24,9,2,8,15,8,Home Team,2023
2019-06-25,Bundesliga,AC Milan,Borussia Dortmund,2,0,53,58,13,12,5,4,7,9,Away Team,2021
2024-05-20,La Liga,Chelsea,Paris Saint-Germain,5,2,42,41,7,15,3,4,7,12,Home Team,2020
2023-08-06,UEFA Champions League,Chelsea,Paris Saint-Germain,2,0,42,50,20,12,9,7,14,14,Draw,2018
2023-08-07,UEFA Champions League,Real Madrid,Borussia Dortmund,1,0,62,60,18,18,5,4,11,14,Draw,2020
2024-09-29,Premier League,PSG,Liverpool,1,4,69,42,25,13,2,4,13,11,Away Team,2024
2017-09-14,Serie A,Liverpool,Bayern Munich,5,3,58,40,13,14,8,9,13,13,Away Team,2016
2022-03-25,UEFA Champions League,Real Madrid,AC Milan,0,3,47,49,23,7,2,6,14,9,Home Team,2025
2015-02-25,Serie A,Bayern Munich,Man City,2,3,63,57,25,8,5,3,6,11,Home Team,2022
2017-02-21,Premier League,Liverpool,Paris Saint-Germain,5,2,40,52,18,24,9,10,7,13,Away Team,2021
2016-07-25,Serie A,PSG,Man City,1,0,66,54,9,9,7,6,15,7,Draw,2024
2017-01-15,La Liga,Real Madrid,Chelsea,3,2,66,54,22,20,10,9,5,8,Home Team,2021
2015-04-06,UEFA Champions League,Real Madrid,AC Milan,4,1,70,48,16,24,5,3,15,7,Draw,2018
2023-03-19,UEFA Champions League,PSG,Barcelona,3,0,70,40,23,8,10,10,11,12,Home Team,2019
2025-01-27,Premier League,Juventus,AC Milan,5,3,51,48,15,5,10,5,8,10,Home Team,2016
2023-05-14,Serie A,Bayern Munich,Paris Saint-Germain,3,0,67,31,21,16,9,2,8,11,Draw,2019
2018-03-21,La Liga,Bayern Munich,Paris Saint-Germain,0,4,63,54,22,9,9,3,9,5,Away Team,2021
2015-09-23,UEFA Champions League,AC Milan,Barcelona,1,4,57,42,13,15,9,8,9,15,Home Team,2023
2021-07-16,UEFA Champions League,Barcelona,Barcelona,4,5,57,37,19,10,7,5,12,6,Home Team,2015
2021-11-19,La Liga,Manchester City,Arsenal,5,3,65,31,5,18,7,10,12,10,Home Team,2017
2015-11-09,UEFA Champions League,Chelsea,Bayern Munich,0,3,68,56,19,11,8,4,12,14,Home Team,2023
2018-09-08,UEFA Champions League,Barcelona,Paris Saint-Germain,4,2,47,33,12,10,6,2,15,11,Draw,2021
2023-06-04,Bundesliga,Chelsea,Arsenal,4,5,55,60,8,13,2,8,12,9,Draw,2025
2016-02-08,Premier League,AC Milan,Arsenal,4,5,48,46,23,14,8,7,5,15,Home Team,2019
2022-11-27,UEFA Champions League,Real Madrid,Man City,3,0,56,46,17,5,9,5,9,8,Home Team,2021
2020-12-22,Serie A,AC Milan,Arsenal,4,5,55,38,23,11,6,4,5,5,Draw,2022
2020-02-15,Bundesliga,Arsenal,Barcelona,2,4,44,56,15,9,6,10,12,13,Draw,2021
2024-01-09,La Liga,Barcelona,Chelsea,5,5,56,36,15,17,4,6,5,5,Home Team,2018
2019-11-10,UEFA Champions League,Barcelona,Man City,3,3,52,31,14,20,9,10,7,13,Away Team,2016
2023-10-13,Serie A,Bayern Munich,Barcelona,2,1,62,60,6,11,4,10,14,6,Draw,2017
2023-08-14,UEFA Champions League,Chelsea,Barcelona,4,1,62,35,16,6,8,9,7,11,Away Team,2024
2025-10-01,Bundesliga,Bayern Munich,Borussia Dortmund,0,0,60,39,19,16,7,5,9,15,Home Team,2022
2016-12-24,Premier League,PSG,Barcelona,4,0,44,59,12,11,8,6,5,10,Home Team,2024
2023-05-24,Serie A,Chelsea,Liverpool,3,2,42,33,23,11,9,10,15,15,Away Team,2023
2024-01-28,Serie A,Arsenal,Man City,0,4,62,38,25,19,7,3,14,12,Away Team,2024
2025-01-12,La Liga,Barcelona,Liverpool,5,1,42,45,16,6,7,10,6,7,Draw,2025
2017-02-06,Bundesliga,AC Milan,Chelsea,3,3,57,51,23,25,4,5,5,10,Home Team,2024
2016-05-16,Bundesliga,PSG,Borussia Dortmund,3,3,51,52,12,20,4,8,14,10,Draw,2019
2019-12-18,Premier League,Bayern Munich,Man City,1,5,59,40,6,7,7,2,11,5,Home Team,2025
2023-06-29,UEFA Champions League,Manchester City,Arsenal,0,3,56,54,16,9,10,4,13,13,Away Team,2019
2024-04-03,Serie A,Arsenal,Juventus,5,4,67,41,8,25,7,4,10,15,Away Team,2016
2020-05-11,Premier League,PSG,Arsenal,5,0,53,35,6,5,8,8,11,15,Draw,2021
2024-08-07,UEFA Champions League,AC Milan,Barcelona,4,3,70,33,17,16,2,3,10,7,Draw,2023
2021-11-18,Premier League,Bayern Munich,Paris Saint-Germain,3,2,65,53,13,11,4,4,15,12,Away Team,2023
2020-01-17,Serie A,AC Milan,AC Milan,0,0,52,57,8,22,4,7,14,15,Away Team,2024
2015-04-12,La Liga,Arsenal,Borussia Dortmund,5,1,46,48,16,21,2,6,9,13,Away Team,2025
2025-10-06,Premier League,Real Madrid,AC Milan,5,5,67,34,7,13,7,3,11,13,Away Team,2019
2019-02-06,Serie A,Real Madrid,Paris Saint-Germain,0,2,64,39,12,19,2,8,15,13,Draw,2018
2019-11-10,La Liga,AC Milan,Bayern Munich,5,2,51,52,9,11,7,2,8,5,Home Team,2016
2024-08-21,Bundesliga,PSG,Borussia Dortmund,2,2,69,52,25,20,5,10,6,8,Draw,2019
2017-03-29,La Liga,Manchester City,Liverpool,2,4,63,51,16,11,7,4,8,9,Home Team,2022
2019-01-15,Bundesliga,Liverpool,Juventus,5,4,51,46,10,20,7,7,10,11,Draw,2020
2018-07-12,La Liga,Liverpool,Barcelona,3,3,47,58,22,12,4,9,6,9,Away Team,2024
2025-12-15,Bundesliga,Chelsea,Man City,5,0,63,35,18,21,4,10,9,6,Home Team,2024
2015-04-07,UEFA Champions League,Chelsea,Barcelona,2,2,63,54,7,19,8,9,11,13,Away Team,2021
2017-01-16,UEFA Champions League,Bayern Munich,Liverpool,2,5,44,38,7,19,6,9,7,15,Home Team,2021
2024-04-30,Serie A,Juventus,Liverpool,1,4,46,38,15,20,4,8,6,9,Away Team,2023
2017-03-05,Serie A,AC Milan,Barcelona,4,4,64,42,11,5,3,4,6,7,Draw,2020
2016-08-26,Serie A,Bayern Munich,Chelsea,1,3,42,32,11,24,6,8,8,8,Home Team,2018
2025-05-18,Bundesliga,Liverpool,Arsenal,4,3,43,53,5,11,9,4,8,12,Away Team,2019
2022-08-01,Premier League,Bayern Munich,Liverpool,2,4,44,59,6,8,9,3,12,12,Draw,2019
2015-05-26,La Liga,Manchester City,Bayern Munich,0,0,60,59,19,19,10,7,11,11,Draw,2023
2021-05-14,Premier League,Liverpool,Juventus,0,4,68,51,19,17,2,6,14,7,Away Team,2017
2015-05-10,Premier League,Real Madrid,Paris Saint-Germain,4,2,43,48,13,21,5,7,15,15,Away Team,2020
2024-02-10,Serie A,Real Madrid,Man City,1,1,70,57,8,7,4,7,12,15,Home Team,2018
2020-11-30,Serie A,Real Madrid,AC Milan,5,3,62,57,16,14,7,2,5,10,Home Team,2015
2017-02-12,La Liga,Chelsea,Paris Saint-Germain,4,2,57,37,20,6,8,5,10,14,Draw,2021
2015-03-13,Serie A,Bayern Munich,Man City,4,5,52,54,21,15,9,10,9,10,Draw,2015
2023-12-18,Bundesliga,Barcelona,Arsenal,0,0,44,38,21,6,5,5,5,6,Home Team,2017
2018-09-29,UEFA Champions League,AC Milan,Chelsea,3,1,43,48,14,8,4,10,7,5,Home Team,2016
2022-05-16,La Liga,Juventus,Borussia Dortmund,4,5,55,52,9,23,4,4,15,8,Away Team,2022
2024-02-27,UEFA Champions League,Arsenal,Juventus,0,5,63,55,20,13,10,2,14,6,Away Team,2023
2025-09-02,Premier League,Bayern Munich,Juventus,0,0,68,39,11,5,2,10,5,6,Draw,2016
2020-11-29,Premier League,Manchester City,Arsenal,1,0,45,54,24,6,10,10,8,13,Away Team,2017
2015-09-14,UEFA Champions League,Bayern Munich,Liverpool,2,1,65,58,13,21,10,9,8,7,Draw,2016
2019-06-30,Premier League,AC Milan,Chelsea,3,5,52,49,5,9,6,7,6,10,Away Team,2019
2024-07-03,Serie A,Barcelona,Paris Saint-Germain,3,0,62,38,21,17,9,9,13,10,Away Team,2025
2024-04-13,Bundesliga,Bayern Munich,Arsenal,2,1,42,56,24,23,2,5,7,13,Draw,2020
2019-10-17,Premier League,AC Milan,Chelsea,2,0,40,43,18,10,2,7,10,7,Away Team,2023
2025-01-08,UEFA Champions League,Bayern Munich,Arsenal,0,4,49,44,13,21,9,9,5,14,Home Team,2024
2016-05-24,Premier League,Barcelona,Arsenal,0,5,60,59,15,7,3,8,11,6,Away Team,2021
2021-01-08,Bundesliga,AC Milan,Bayern Munich,2,3,70,33,9,14,7,10,15,11,Away Team,2015
2019-09-11,La Liga,Liverpool,Chelsea,1,0,59,58,6,10,7,4,6,11,Away Team,2024
2016-04-01,Bundesliga,Liverpool,Liverpool,0,4,64,41,5,18,3,9,10,7,Home Team,2021
2015-12-17,Premier League,PSG,Paris Saint-Germain,0,2,69,32,18,14,3,5,12,15,Draw,2022
2015-08-22,Bundesliga,Manchester City,Bayern Munich,2,3,68,58,22,5,4,8,7,14,Home Team,2019
2016-11-10,La Liga,AC Milan,AC Milan,1,3,65,46,14,25,6,4,9,15,Draw,2017
2024-08-10,Serie A,PSG,Man City,5,4,44,56,19,16,8,6,6,14,Home Team,2024
2017-03-17,Bundesliga,Bayern Munich,Liverpool,3,5,42,52,12,8,2,7,8,12,Away Team,2020
2025-09-22,La Liga,Barcelona,Borussia Dortmund,2,0,51,47,23,10,9,7,12,14,Away Team,2025
2017-07-27,La Liga,Real Madrid,Barcelona,0,4,65,41,19,9,4,7,15,14,Draw,2015
2023-02-03,UEFA Champions League,Chelsea,AC Milan,4,2,63,52,23,25,2,4,12,7,Home Team,2017
2016-07-01,Premier League,Arsenal,Borussia Dortmund,3,3,47,56,22,10,3,8,15,14,Home Team,2025
2015-10-02,UEFA Champions League,Chelsea,Barcelona,4,2,46,48,23,15,8,4,10,8,Home Team,2019
2024-03-14,Serie A,PSG,Bayern Munich,3,3,67,40,25,9,7,3,8,7,Draw,2021
2022-08-08,Serie A,Manchester City,Arsenal,5,0,56,59,12,8,3,7,11,10,Draw,2024
2020-09-15,La Liga,Barcelona,Man City,2,3,57,38,22,7,4,4,10,7,Draw,2018
2021-04-01,Serie A,Juventus,Barcelona,4,5,47,41,12,21,8,3,10,11,Home Team,2021
2025-01-04,UEFA Champions League,Manchester City,Chelsea,4,4,45,57,18,13,3,8,13,15,Home Team,2024
2024-05-30,La Liga,Bayern Munich,Barcelona,5,2,66,57,5,5,2,8,8,7,Home Team,2018
2019-06-09,UEFA Champions League,AC Milan,Liverpool,3,1,49,55,12,19,2,5,6,13,Home Team,2023
